Country,Year,ImportValue,TimelinessScore,RiskPremium,t_value,RAIV
Dominican Republic,2023,102682.89199999999,3.1,0.06,1,300299.02377358486
Dominican Republic,2024,132308.617,3.1,0.06,2,365038.0141509434
Egypt,2022,2587.828,3.6,0.06,0,9316.1808
Egypt,2023,1634.646,3.6,0.06,1,5551.627924528301
Egypt,2024,3019.8019999999997,3.6,0.06,2,9675.406906372373
El Salvador,2022,4620.948,3.2,0.06,0,14787.033600000002
El Salvador,2023,3279.56,3.2,0.06,1,9900.558490566038
El Salvador,2024,2246.551,3.2,0.06,2,6398.151655393378
Estonia,2022,2378.744,4.1,0.05,0,9752.8504
Estonia,2023,2350.5510000000004,4.1,0.05,1,9178.342
Estonia,2024,3638.269,4.1,0.05,2,13530.070657596369
Fiji,2022,16.229,2.3,0.075,0,37.326699999999995
Fiji,2023,0.846,2.3,0.075,1,1.8100465116279068
Fiji,2024,0.454,2.3,0.075,2,0.903580313683072
Finland,2022,17649.203,4.3,0.05,0,75891.5729
Finland,2023,16473.076999999997,4.3,0.05,1,67461.17247619046
Finland,2024,26446.349000000002,4.3,0.05,2,103146.75800453515
France,2022,235993.815,4.1,0.05,0,967574.6414999999
France,2023,224061.504,4.1,0.05,1,874906.825142857
France,2024,196047.223,4.1,0.05,2,729064.5027664398
Georgia,2022,494.024,3.1,0.06,0,1531.4744
Georgia,2023,495.825,3.1,0.06,1,1450.0542452830189
Georgia,2024,990.4430000000001,3.1,0.06,2,2732.6213065147736
Germany,2022,581983.869,4.1,0.05,0,2386133.8628999996
Germany,2023,563723.27,4.1,0.05,1,2201205.149523809
Germany,2024,592654.127,4.1,0.05,2,2203974.531247165
Ghana,2022,20.624000000000002,2.7,0.075,0,55.68480000000001
Ghana,2023,21.302999999999997,2.7,0.075,1,53.50520930232558
Ghana,2024,27.51,2.7,0.075,2,64.27431043807465
Greece,2022,2125.839,3.9,0.06,0,8290.7721
Greece,2023,1050.791,3.9,0.06,1,3866.117830188679
Greece,2024,1197.009,3.9,0.06,2,4154.80161979352
Grenada,2022,0.314,3.1,0.06,0,0.9734
Grenada,2023,3.264,3.1,0.06,1,9.54566037735849
Grenada,2024,2.266,3.1,0.06,2,6.251868992524029
Guatemala,2022,3259.5930000000003,2.6,0.075,0,8474.9418
Guatemala,2023,2484.7580000000003,2.6,0.075,1,6009.647255813954
Guatemala,2024,2113.719,2.6,0.075,2,4755.581957815036
Guinea,2022,1.318,2.5,0.075,0,3.295
Guinea,2024,26.980999999999998,2.5,0.075,2,58.368848025959984
Guinea-Bissau,2023,3.786,2.4,0.075,1,8.45246511627907
Guyana,2022,5.929,2.6,0.075,0,15.415400000000002
Guyana,2023,12.076,2.6,0.075,1,29.207069767441865
Guyana,2024,10.746,2.6,0.075,2,24.177047052460793
Haiti,2023,1.101,2.5,0.075,1,2.5604651162790697
Honduras,2022,15020.112,3.2,0.06,0,48064.3584
Honduras,2023,10646.366,3.2,0.06,1,32139.97283018868
Honduras,2024,18371.547,3.2,0.06,2,52321.95656817372
Hong Kong,2022,15909.158,4.1,0.05,0,65227.54779999999
Hong Kong,2023,12347.385,4.1,0.05,1,48213.59857142856
Hong Kong,2024,8991.157000000001,4.1,0.05,2,33436.50222222222
Hungary,2022,29695.290999999997,3.6,0.06,0,106903.04759999999
Hungary,2023,27600.077,3.6,0.06,1,93736.11056603774
Hungary,2024,32824.219,3.6,0.06,2,105168.37700249198
Iceland,2022,1551.817,3.6,0.06,0,5586.541200000001
Iceland,2023,1921.893,3.6,0.06,1,6527.183773584906
Iceland,2024,951.284,3.6,0.06,2,3047.901744393022
India,2022,175409.796,3.6,0.06,0,631475.2656
India,2023,132785.203,3.6,0.06,1,450968.61396226415
India,2024,144812.364,3.6,0.06,2,463976.95834816655
Indonesia,2022,11053.986,3.3,0.06,0,36478.1538
Indonesia,2023,13903.078000000001,3.3,0.06,1,43283.167358490566
Indonesia,2024,17322.944,3.3,0.06,2,50877.283018867915
Iraq,2022,3.075,3.0,0.06,0,9.225000000000001
Iraq,2023,0.708,3.0,0.06,1,2.00377358490566
Iraq,2024,1.025,3.0,0.06,2,2.736739053043787
Israel,2022,265317.8,3.8,0.06,0,1008207.6399999999
Israel,2023,254739.783,3.8,0.06,1,913218.0899999999
Israel,2024,261768.94,3.8,0.06,2,885299.0138839443
Italy,2022,235173.636,3.9,0.06,0,917177.1804
Italy,2023,192392.786,3.9,0.06,1,707860.2503773585
Italy,2024,201297.563,3.9,0.06,2,698701.0463688144
Jamaica,2022,24.175,2.9,0.075,0,70.1075
Jamaica,2023,3.609,2.9,0.075,1,9.735906976744186
Jamaica,2024,11.275,2.9,0.075,2,28.29421308815576
Japan,2022,396840.146,4.0,0.05,0,1587360.584
Japan,2023,324888.864,4.0,0.05,1,1237671.8628571427
Japan,2024,389767.847,4.0,0.05,2,1414123.7079365079
Kazakhstan,2022,87.805,2.9,0.075,0,254.6345
Kazakhstan,2023,32.616,2.9,0.075,1,87.98734883720931
Kazakhstan,2024,0.938,2.9,0.075,2,2.3538777717685235
Kuwait,2022,2.67,2.8,0.075,0,7.475999999999999
Kuwait,2023,2.084,2.8,0.075,1,5.428093023255814
Kyrgyz Republic,2022,528.182,2.4,0.075,0,1267.6368
Kyrgyz Republic,2023,562.678,2.4,0.075,1,1256.2113488372092
Kyrgyz Republic,2024,179.101,2.4,0.075,2,371.9566468361277
Laos,2022,1.403,2.8,0.075,0,3.9284
Laos,2023,2.331,2.8,0.075,1,6.071441860465116
Laos,2024,2.678,2.8,0.075,2,6.488610059491617
Latvia,2022,253.619,4.0,0.05,0,1014.476
Latvia,2023,287.7,4.0,0.05,1,1096.0
Latvia,2024,256.347,4.0,0.05,2,930.0571428571427
Liberia,2024,7.726,2.3,0.075,2,15.376787452677124
Lithuania,2022,540.746,3.6,0.06,0,1946.6856
Lithuania,2023,819.833,3.6,0.06,1,2784.3384905660378
Lithuania,2024,1027.051,3.6,0.06,2,3290.658241367034
Luxembourg,2022,820.33,3.5,0.06,0,2871.155
Luxembourg,2023,599.562,3.5,0.06,1,1979.6858490566037
Luxembourg,2024,285.911,3.5,0.06,2,890.6092025631896
Madagascar,2022,104.762,2.6,0.075,0,272.38120000000004
Madagascar,2023,73.779,2.6,0.075,1,178.44223255813955
Madagascar,2024,75.472,2.6,0.075,2,169.80179556517035
Malaysia,2022,52461.004,3.7,0.06,0,194105.71480000002
Malaysia,2023,40834.147000000004,3.7,0.06,1,142534.28669811322
Malaysia,2024,60608.841,3.7,0.06,2,199584.1150765397
Mali,2023,2.858,3.1,0.06,1,8.358301886792452
Mali,2024,3.606,3.1,0.06,2,9.94891420434318
Malta,2022,3400.508,3.2,0.06,0,10881.6256
Malta,2023,4450.069,3.2,0.06,1,13434.170566037737
Malta,2024,6718.938,3.2,0.06,2,19135.458882164472
Mauritania,2022,4.056,2.8,0.075,0,11.3568
Mauritania,2023,2.944,2.8,0.075,1,7.668093023255814
Mauritania,2024,1.44,2.8,0.075,2,3.489021092482423
Mauritius,2022,56.846,3.1,0.06,0,176.2226
Mauritius,2023,34.13,3.1,0.06,1,99.81415094339623
Mauritius,2024,10.781,3.1,0.06,2,29.744660021359913
Mexico,2022,1740222.654,3.5,0.06,0,6090779.289000001
Mexico,2023,1738027.833,3.5,0.06,1,5738771.146698113
Mexico,2024,1921818.101,3.5,0.06,2,5986439.438857244
Moldova,2022,7725.345,3.0,0.06,0,23176.035
Moldova,2023,9930.287,3.0,0.06,1,28104.585849056602
Moldova,2024,9501.982,3.0,0.06,2,25370.190459238158
Mongolia,2022,118.434,2.7,0.075,0,319.77180000000004
Mongolia,2023,55.159000000000006,2.7,0.075,1,138.53888372093024
Mongolia,2024,847.3219999999999,2.7,0.075,2,1979.6814710654407
Montenegro,2022,0.498,3.2,0.06,0,1.5936000000000001
Montenegro,2023,24.409,3.2,0.06,1,73.68754716981132
Montenegro,2024,31.61,3.2,0.06,2,90.02491990032038
Namibia,2022,1.45,2.9,0.075,0,4.205
Namibia,2023,1.037,2.9,0.075,1,2.797488372093023
Namibia,2024,11.48,2.9,0.075,2,28.808653326122233
Netherlands,2022,116003.023,4.0,0.05,0,464012.092
Netherlands,2023,84452.792,4.0,0.05,1,321724.92190476187
Netherlands,2024,94762.697,4.0,0.05,2,343810.23854875285
New Zealand,2022,65101.464,3.8,0.06,0,247385.56319999998
New Zealand,2023,65511.081999999995,3.8,0.06,1,234851.04867924526
New Zealand,2024,83872.965,3.8,0.06,2,283657.23300106794
Nicaragua,2022,411.395,2.9,0.075,0,1193.0455
Nicaragua,2023,177.381,2.9,0.075,1,478.5161860465116
Nicaragua,2024,112.066,2.9,0.075,2,281.22565711195244
Nigeria,2022,6.934,3.1,0.06,0,21.4954
